query,level,implicit_keywords,hard_constraints,req_flight,req_car,req_hotel,req_attraction,cities_count,implicit_keywords_count,balance,impossible,total_score
"I'm hoping to book a round trip trip from Vienna to Dublin, Madrid for road trip and disabled traveler and photography. We are 5 travelers and we'll stay 6 days, need 3 hotel room(s), and our collective budget is 6666. It would be great to visit Old Dublin Storytelling Hall while in Dublin.",hard,"['road trip', 'disabled traveler', 'photography']","{'person_num': 5, 'budget': '6666', 'days': 6}","{'departure_city': 'Vienna', 'arrival_city': ['Dublin', 'Madrid'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '3'}",{'name': ['Old Dublin Storytelling Hall']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['road trip', 'disabled traveler', 'photography']}",1.0,0.0,7
"I'm dreaming of a round trip escape from London to Rome, Algiers for foodie and couples trip and road trip. We are 2 travelers and we'll stay 6 days, need 1 hotel room(s), and our collective budget is 6666. It would be great to visit Lavender Shore Promenade while in Rome.",hard,"['foodie', 'couples trip', 'road trip']","{'person_num': 2, 'budget': '6666', 'days': 6}","{'departure_city': 'London', 'arrival_city': ['Rome', 'Algiers'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': ['Lavender Shore Promenade']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['foodie', 'couples trip', 'road trip']}",1.0,0.0,7
"I'm dreaming of a round trip escape from New York to Amsterdam, Philadelphia for luxury travelers and business travelers and road trip. We are 4 travelers and we'll stay 6 days, need 2 hotel room(s), and our collective budget is 6666. We'd like to rent a Minivan that seats 7 people, about 118.66 USD per day.",hard,"['luxury travelers', 'business travelers', 'road trip']","{'person_num': 4, 'budget': '6666', 'days': 6}","{'departure_city': 'New York', 'arrival_city': ['Amsterdam', 'Philadelphia'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '118.66', 'car_type': 'Minivan', 'capacity': '7'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['luxury travelers', 'business travelers', 'road trip']}",1.0,0.0,7
"We are 3 travelers. I am hoping to book a round trip ticket from Changchun to Dalian, Wenzhou for road trip and disabled traveler and foodie. Planning to spend 6 days and need 2 hotel room(s). Hoping not to exceed 8700 USD. It would be amazing to visit Legendary Dalian Gallery if possible.",hard,"['road trip', 'disabled traveler', 'foodie']","{'person_num': 3, 'budget': '8700', 'days': 6}","{'departure_city': 'Changchun', 'arrival_city': ['Dalian', 'Wenzhou'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': ['Legendary Dalian Gallery']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['road trip', 'disabled traveler', 'foodie']}",1.0,1.0,8
"I'm arranging a round trip tour for 2 travelers from Albuquerque to Anchorage, Austin, Jacksonville for photography and elderly travelers and with children. We'll stay 9 days, need 1 hotel room(s), and our collective budget is 8800 USD. By the way, I'm hoping for something like Legendary Anchorage Suites with a special experience.",hard,"['photography', 'elderly travelers', 'with children']","{'person_num': 2, 'budget': '8800', 'days': 9}","{'departure_city': 'Albuquerque', 'arrival_city': ['Anchorage', 'Austin', 'Jacksonville'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Legendary Anchorage Suites', 'price': '', 'star': '', 'rating': '4.6', 'rooms_count': '1'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['photography', 'elderly travelers', 'with children']}",1.0,1.0,9
"I'm dreaming of a round trip escape from Madrid to Greater Manchester, Valletta for foodie and with children and photography. I'll stay 6 days, need 1 hotel room(s), and my budget is 6666. I'd like to rent a Wagon that seats 5 people, about 74.55 USD per day.",hard,"['foodie', 'with children', 'photography']","{'person_num': 1, 'budget': '6666', 'days': 6}","{'departure_city': 'Madrid', 'arrival_city': ['Greater Manchester', 'Valletta'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '74.55', 'car_type': 'Wagon', 'capacity': '5'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['foodie', 'with children', 'photography']}",1.0,0.0,7
"Could you plan a round trip expedition from Shanghai to Beijing, Changsha, Chongqing for foodie and couples trip and photography. We are 3 travelers and we'll stay 9 days, need 2 hotel room(s), and our collective budget is 6666. Maybe stay at Ming Palace Park, which is well rated and has 4.5-star, for about 78.0 USD per night.",hard,"['foodie', 'couples trip', 'photography']","{'person_num': 3, 'budget': '6666', 'days': 9}","{'departure_city': 'Shanghai', 'arrival_city': ['Beijing', 'Changsha', 'Chongqing'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Ming Palace Park', 'price': '78.0', 'star': '4.5', 'rating': '9.4', 'rooms_count': '2'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['foodie', 'couples trip', 'photography']}",1.0,0.0,8
"We are 3 travelers. I am hoping to book a one way ticket from Amsterdam to Bangkok, Singapore for foodie and luxury travelers and nightlife enthusiast. Planning to spend 6 days and need 2 hotel room(s). Hoping not to exceed 6666. Maybe stay at Sunny Suites Bangkok, which is well rated and has 5.0-star, for about 141.0 USD per night.",hard,"['foodie', 'luxury travelers', 'nightlife enthusiast']","{'person_num': 3, 'budget': '6666', 'days': 6}","{'departure_city': 'Amsterdam', 'arrival_city': ['Bangkok', 'Singapore'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Sunny Suites Bangkok', 'price': '141.0', 'star': '5.0', 'rating': '9.4', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['foodie', 'luxury travelers', 'nightlife enthusiast']}",1.0,0.0,7
"I'd like to organize a round trip journey from Dalian to Changchun, Haikou, Harbin for disabled traveler and luxury travelers and foodie for 4 people. We'll stay 9 days, need 2 hotel room(s), and would prefer the total to stay below 8900 USD. Could you arrange a DuneBuggy for us in Changchun? It should seat 4 people, about 145 USD per day.",hard,"['disabled traveler', 'luxury travelers', 'foodie']","{'person_num': 4, 'budget': '8900', 'days': 9}","{'departure_city': 'Dalian', 'arrival_city': ['Changchun', 'Haikou', 'Harbin'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '145', 'car_type': 'DuneBuggy', 'capacity': '4'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['disabled traveler', 'luxury travelers', 'foodie']}",1.0,1.0,9
"I'm planning ahead for a round trip adventure for 1 travelers from Jacksonville to Washington, Nashville for road trip and disabled traveler and luxury travelers. I'll stay 6 days, need 1 hotel room(s), and my collective budget is 6666. I'd like to rent a Minivan that seats 7 people, about 110.74 USD per day.",hard,"['road trip', 'disabled traveler', 'luxury travelers']","{'person_num': 1, 'budget': '6666', 'days': 6}","{'departure_city': 'Jacksonville', 'arrival_city': ['Washington', 'Nashville'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '110.74', 'car_type': 'Minivan', 'capacity': '7'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['road trip', 'disabled traveler', 'luxury travelers']}",1.0,0.0,7
"I need advice on a round trip trek for 1 travelers from Auckland to Perth, Singapore for road trip and nightlife enthusiast and luxury travelers. I'll stay 6 days, need 1 hotel room(s), and my collective budget is 6666. Maybe stay at Perth Palace Suites 53, which is well rated and has 5.0-star, for about 94.0 USD per night.",hard,"['road trip', 'nightlife enthusiast', 'luxury travelers']","{'person_num': 1, 'budget': '6666', 'days': 6}","{'departure_city': 'Auckland', 'arrival_city': ['Perth', 'Singapore'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Perth Palace Suites 53', 'price': '94.0', 'star': '5.0', 'rating': '8.8', 'rooms_count': '1'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['road trip', 'nightlife enthusiast', 'luxury travelers']}",1.0,0.0,7
"Looking to arrange a round trip break from New York to Shanghai, Abu Dhabi for fast-Paced budget travel and nightlife enthusiast and road trip. We are 5 travelers and we'll stay 6 days, need 3 hotel room(s), and our collective budget is 6666. It would be great to visit Shanghai Urban Stroll while in Shanghai.",hard,"['fast-Paced budget travel', 'nightlife enthusiast', 'road trip']","{'person_num': 5, 'budget': '6666', 'days': 6}","{'departure_city': 'New York', 'arrival_city': ['Shanghai', 'Abu Dhabi'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '3'}",{'name': ['Shanghai Urban Stroll']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['fast-Paced budget travel', 'nightlife enthusiast', 'road trip']}",1.0,0.0,7
"Interested in a one way journey from Boston to Albuquerque, Memphis for photography and foodie and with children. We are 4 travelers and we'll stay 6 days, need 2 hotel room(s), and our collective budget is 8800 USD. Could you arrange a Roadster for us in Albuquerque? It should seat 4 people, about 192 USD per day.",hard,"['photography', 'foodie', 'with children']","{'person_num': 4, 'budget': '8800', 'days': 6}","{'departure_city': 'Boston', 'arrival_city': ['Albuquerque', 'Memphis'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '192', 'car_type': 'Roadster', 'capacity': '4'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['photography', 'foodie', 'with children']}",1.0,1.0,8
"Need guidance for a one way expedition from Harbin to Changchun, Guilin, Nanning for luxury travelers and couples trip and nightlife enthusiast. I'll stay 9 days, need 1 hotel room(s), and my budget is 8700 USD. It would be amazing to visit Secret Changchun Lake if possible.",hard,"['luxury travelers', 'couples trip', 'nightlife enthusiast']","{'person_num': 1, 'budget': '8700', 'days': 9}","{'departure_city': 'Harbin', 'arrival_city': ['Changchun', 'Guilin', 'Nanning'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': ['Secret Changchun Lake']},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['luxury travelers', 'couples trip', 'nightlife enthusiast']}",1.0,1.0,9
"Looking to arrange a one way break from Austin to Albuquerque, San Antonio for disabled traveler and couples trip and with pets. We are 2 travelers and we'll stay 6 days, need 1 hotel room(s), and our collective budget is 8700 USD. Could you arrange a Classic for us in Albuquerque? It should seat 2 people, about 180 USD per day.",hard,"['disabled traveler', 'couples trip', 'with pets']","{'person_num': 2, 'budget': '8700', 'days': 6}","{'departure_city': 'Austin', 'arrival_city': ['Albuquerque', 'San Antonio'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '180', 'car_type': 'Classic', 'capacity': '2'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['disabled traveler', 'couples trip', 'with pets']}",1.0,1.0,8
"Seeking your help for a round trip outing from Luxembourg to Málaga, Munich for road trip and foodie and photography. We are 5 travelers and we'll stay 6 days, need 3 hotel room(s), and our collective budget is 6666. Maybe stay at Casa del Mar Costa Village Resort, which is well rated and has 3.0-star, for about 46.0 USD per night.",hard,"['road trip', 'foodie', 'photography']","{'person_num': 5, 'budget': '6666', 'days': 6}","{'departure_city': 'Luxembourg', 'arrival_city': ['Málaga', 'Munich'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Casa del Mar Costa Village Resort', 'price': '46.0', 'star': '3.0', 'rating': '8.0', 'rooms_count': '3'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['road trip', 'foodie', 'photography']}",1.0,0.0,7
"Need guidance for a one way expedition for 3 travelers from Changchun to Harbin, Nanning, Ürümqi for couples trip and with pets and with children. We'll stay 9 days, need 2 hotel room(s), and our collective budget is 8900 USD. It would be amazing to visit Wonder Harbin Park if possible.",hard,"['couples trip', 'with pets', 'with children']","{'person_num': 3, 'budget': '8900', 'days': 9}","{'departure_city': 'Changchun', 'arrival_city': ['Harbin', 'Nanning', 'Ürümqi'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': ['Wonder Harbin Park']},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['couples trip', 'with pets', 'with children']}",1.0,1.0,9
"Help me organize a trip from Albuquerque to Buffalo, Columbus for with children and road trip and luxury travelers. We'll be 3 in total, want to stay 6 days, need 2 hotel room(s), and are looking for a round trip flight. We'd like to keep expenses under 8600 USD. Could you arrange a Hovercar for us in Buffalo? It should seat 3 people, about 160 USD per day.",hard,"['with children', 'road trip', 'luxury travelers']","{'person_num': 3, 'budget': '8600', 'days': 6}","{'departure_city': 'Albuquerque', 'arrival_city': ['Buffalo', 'Columbus'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '160', 'car_type': 'Hovercar', 'capacity': '3'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['with children', 'road trip', 'luxury travelers']}",1.0,1.0,8
"Eager to schedule a round trip getaway for 4 travelers from Anchorage to Albuquerque, Kahului for luxury travelers and with children and foodie. We'll stay 6 days, need 2 hotel room(s), and our collective budget is 7700 USD. By the way, I'm hoping for something like Future Albuquerque Hotel with a special experience.",hard,"['luxury travelers', 'with children', 'foodie']","{'person_num': 4, 'budget': '7700', 'days': 6}","{'departure_city': 'Anchorage', 'arrival_city': ['Albuquerque', 'Kahului'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Future Albuquerque Hotel', 'price': '', 'star': '', 'rating': '3.3', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['luxury travelers', 'with children', 'foodie']}",1.0,1.0,8
"Need guidance for a round trip expedition for 1 travelers from Sydney to Sepang, Brisbane for foodie and business travelers and nightlife enthusiast. I'll stay 6 days, need 1 hotel room(s), and my collective budget is 6666. It would be great to visit Skyfire Adventure Hub while in Sepang.",hard,"['foodie', 'business travelers', 'nightlife enthusiast']","{'person_num': 1, 'budget': '6666', 'days': 6}","{'departure_city': 'Sydney', 'arrival_city': ['Sepang', 'Brisbane'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': ['Skyfire Adventure Hub']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['foodie', 'business travelers', 'nightlife enthusiast']}",1.0,0.0,7
"I'm considering a one way getaway for 5 travelers from West Palm Beach to Albuquerque, Anchorage for photography and disabled traveler and elderly travelers. We'll stay 6 days, need 3 hotel room(s), and our collective budget is 7400 USD. By the way, I'm hoping for something like Hidden Albuquerque Grand with a special experience.",hard,"['photography', 'disabled traveler', 'elderly travelers']","{'person_num': 5, 'budget': '7400', 'days': 6}","{'departure_city': 'West Palm Beach', 'arrival_city': ['Albuquerque', 'Anchorage'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Hidden Albuquerque Grand', 'price': '', 'star': '', 'rating': '3.5', 'rooms_count': '3'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['photography', 'disabled traveler', 'elderly travelers']}",1.0,1.0,8
"I'm dreaming of a round trip escape from Ürümqi to Changchun, Harbin, Sanya for nightlife enthusiast and photography and fast-Paced budget travel. We are 5 travelers and we'll stay 9 days, need 3 hotel room(s), and our collective budget is 9900 USD. By the way, I'm hoping for something like Hidden Changchun Grand with a special experience.",hard,"['nightlife enthusiast', 'photography', 'fast-Paced budget travel']","{'person_num': 5, 'budget': '9900', 'days': 9}","{'departure_city': 'Ürümqi', 'arrival_city': ['Changchun', 'Harbin', 'Sanya'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Hidden Changchun Grand', 'price': '', 'star': '', 'rating': '3.8', 'rooms_count': '3'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['nightlife enthusiast', 'photography', 'fast-Paced budget travel']}",1.0,1.0,9
"Could you plan a round trip expedition from Changchun to Guilin, Ürümqi for with children and road trip and disabled traveler. I'll stay 6 days, need 1 hotel room(s), and my budget is 8100 USD. It would be amazing to visit Ultra Guilin Plaza if possible.",hard,"['with children', 'road trip', 'disabled traveler']","{'person_num': 1, 'budget': '8100', 'days': 6}","{'departure_city': 'Changchun', 'arrival_city': ['Guilin', 'Ürümqi'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': ['Ultra Guilin Plaza']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['with children', 'road trip', 'disabled traveler']}",1.0,1.0,8
"I'm looking into a round trip vacation for 5 travelers from Albuquerque to Anchorage, Charlotte, San Jose for with children and luxury travelers and photography. We'll stay 9 days, need 3 hotel room(s), and our collective budget is 8200 USD. Could you arrange a Limo for us in Anchorage? It should seat 5 people, about 160 USD per day.",hard,"['with children', 'luxury travelers', 'photography']","{'person_num': 5, 'budget': '8200', 'days': 9}","{'departure_city': 'Albuquerque', 'arrival_city': ['Anchorage', 'Charlotte', 'San Jose'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '160', 'car_type': 'Limo', 'capacity': '5'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '3'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['with children', 'luxury travelers', 'photography']}",1.0,1.0,9
"I need advice on a round trip trek for 4 travelers from Anchorage to Albuquerque, Austin, Tulsa for business travelers and elderly travelers and foodie. We'll stay 9 days, need 2 hotel room(s), and our collective budget is 8800 USD. Could you arrange a Hovercar for us in Albuquerque? It should seat 4 people, about 103 USD per day.",hard,"['business travelers', 'elderly travelers', 'foodie']","{'person_num': 4, 'budget': '8800', 'days': 9}","{'departure_city': 'Anchorage', 'arrival_city': ['Albuquerque', 'Austin', 'Tulsa'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '103', 'car_type': 'Hovercar', 'capacity': '4'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['business travelers', 'elderly travelers', 'foodie']}",1.0,1.0,9
